epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.34820500016212463,0.21423591673374176,0.6517950296401978,1e-04,0.43799862265586853,0.6158643364906311,0.13303278386592865,0.07131265848875046,0.8669672012329102,0.0,0.0
1,0.5180197358131409,0.3502631187438965,0.48198026418685913,1e-04,0.793073296546936,0.4476637840270996,0.10515906661748886,0.055520106106996536,0.8948410749435425,0.0,0.0
2,0.568416953086853,0.39771777391433716,0.4315830171108246,1e-04,0.840735912322998,0.43359383940696716,0.07875479757785797,0.04099893197417259,0.921245276927948,0.11023622006177902,2.0212137314956635e-06
3,0.6038056015968323,0.4331008493900299,0.39619436860084534,1e-04,0.8716106414794922,0.4282982647418976,0.05765964090824127,0.02969336323440075,0.9423404335975647,0.05949415639042854,0.0028034234419465065
4,0.6312578916549683,0.4617953896522522,0.3687420189380646,1e-04,0.8927662372589111,0.42522376775741577,0.07211830466985703,0.037526678293943405,0.9278818368911743,0.13156913220882416,0.015032777562737465
5,0.6544109582901001,0.48690474033355713,0.3455890119075775,1e-04,0.909091591835022,0.42197826504707336,0.18244686722755432,0.10148856788873672,0.8175532221794128,0.3333079218864441,0.06246171519160271
6,0.6750383377075195,0.5099745392799377,0.3249616026878357,1e-04,0.921968400478363,0.4204050600528717,0.33037999272346497,0.2003185898065567,0.6696199178695679,0.5717350244522095,0.12470066547393799
7,0.6928679347038269,0.5305705666542053,0.30713191628456116,1e-04,0.9307947754859924,0.4195968508720398,0.4850631654262543,0.32282140851020813,0.5149368643760681,0.7430563569068909,0.2082073986530304
8,0.7075930237770081,0.5479662418365479,0.2924070656299591,1e-04,0.9380052089691162,0.4181937277317047,0.5810974836349487,0.41178300976753235,0.4189024865627289,0.9081641435623169,0.25958117842674255
9,0.7184299826622009,0.5611273050308228,0.2815700173377991,1e-04,0.9392297863960266,0.4162150025367737,0.6286339163780212,0.46014758944511414,0.3713661730289459,0.9087467789649963,0.31273606419563293
10,0.7282238006591797,0.5730428099632263,0.2717761695384979,1e-04,0.9452372193336487,0.4148336946964264,0.6657149195671082,0.5002805590629578,0.3342849016189575,0.9555584788322449,0.32598671317100525
11,0.7402999401092529,0.5880979895591736,0.25970014929771423,1e-04,0.9505832195281982,0.41450291872024536,0.6736478805541992,0.5095158815383911,0.3263520896434784,0.9641771912574768,0.31407830119132996
12,0.7512232661247253,0.601967453956604,0.24877656996250153,1e-04,0.9555825591087341,0.4148031771183014,0.684473991394043,0.5215966701507568,0.3155260682106018,0.9627560377120972,0.3189164996147156
13,0.7582083940505981,0.6109943985939026,0.24179157614707947,1e-04,0.9576165676116943,0.4141039252281189,0.7031113505363464,0.5432977676391602,0.29688870906829834,0.9484230875968933,0.3522728681564331
14,0.765803873538971,0.6209099292755127,0.23419615626335144,1e-04,0.9607552289962769,0.4133533537387848,0.7063133120536804,0.5471740961074829,0.29368674755096436,0.9376117587089539,0.3680718243122101
15,0.7716881036758423,0.6286651492118835,0.22831188142299652,1e-04,0.9627614617347717,0.41234099864959717,0.7074292898178101,0.5486826300621033,0.29257068037986755,0.9485330581665039,0.35192233324050903
16,0.7741715908050537,0.631927490234375,0.2258284091949463,1e-04,0.9626517295837402,0.411561518907547,0.7167794108390808,0.5598049759864807,0.28322070837020874,0.9439435005187988,0.3593078553676605
17,0.780535101890564,0.6404861807823181,0.21946482360363007,1e-04,0.9650965929031372,0.41219136118888855,0.7124128341674805,0.5547201633453369,0.28758683800697327,0.9545671343803406,0.34180861711502075
18,0.7881938219070435,0.6508203148841858,0.21180613338947296,1e-04,0.9682883024215698,0.41363075375556946,0.7136104702949524,0.5563353300094604,0.28638964891433716,0.9585021734237671,0.33665770292282104
19,0.7955254912376404,0.6608599424362183,0.20447446405887604,1e-04,0.9725351929664612,0.41229647397994995,0.7161534428596497,0.5592885613441467,0.28384649753570557,0.9536255598068237,0.34160116314888
20,0.7996076345443726,0.6664940714836121,0.20039227604866028,1e-04,0.9740940928459167,0.4114522933959961,0.7210660576820374,0.5655204057693481,0.2789340615272522,0.9511734247207642,0.3491568863391876
21,0.8031364679336548,0.6714140176773071,0.19686351716518402,1e-04,0.9744707345962524,0.41296935081481934,0.7128913402557373,0.5557432770729065,0.2871086299419403,0.9590008854866028,0.3283744752407074
22,0.8070647120475769,0.6769158244132996,0.19293546676635742,1e-04,0.9762153029441833,0.41246700286865234,0.7222824096679688,0.5670021772384644,0.2777175009250641,0.9561901092529297,0.33697083592414856
23,0.8088651299476624,0.6794959306716919,0.19113491475582123,1e-04,0.9766446352005005,0.41164112091064453,0.7068814635276794,0.5485087633132935,0.29311853647232056,0.9615444540977478,0.31380802392959595
24,0.8097681403160095,0.6807284951210022,0.19023162126541138,1e-04,0.9758172631263733,0.4127691984176636,0.700043797492981,0.5404940843582153,0.2999562621116638,0.9570052623748779,0.31141722202301025
25,0.8113613128662109,0.6829630136489868,0.1886386275291443,1e-04,0.9768391251564026,0.4113943576812744,0.7170221209526062,0.5607796311378479,0.2829778790473938,0.9584073424339294,0.3244492709636688
