epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
26,0.8162997364997864,0.6899648904800415,0.1837003082036972,1e-04,0.9788071513175964,0.41216129064559937,0.7219274640083313,0.5667412877082825,0.27807238698005676,0.9584279656410217,0.32813236117362976
27,0.8201045393943787,0.695437490940094,0.17989546060562134,1e-04,0.9803323149681091,0.41215023398399353,0.7215021252632141,0.5659555196762085,0.2784978151321411,0.9485815167427063,0.3396420180797577
28,0.8266457915306091,0.7048721313476562,0.17335417866706848,1e-05,0.9836548566818237,0.41219374537467957,0.7344076037406921,0.5817549824714661,0.265592485666275,0.9552412629127502,0.3445054888725281
29,0.8335436582565308,0.7149316072463989,0.16645631194114685,1e-05,0.9872962236404419,0.41285982728004456,0.7319939732551575,0.5788378119468689,0.26800599694252014,0.958339512348175,0.336897075176239
30,0.8366702795028687,0.7195366024971008,0.16332955658435822,1e-05,0.9889083504676819,0.41281843185424805,0.7307854890823364,0.5773776173591614,0.2692144513130188,0.9594845771789551,0.33376145362854004
31,0.8389758467674255,0.7229467034339905,0.16102416813373566,1e-05,0.9899985790252686,0.4126819372177124,0.7301368713378906,0.5765901207923889,0.269863098859787,0.9600020051002502,0.33240175247192383
32,0.8408441543579102,0.7257212996482849,0.1591557413339615,1e-05,0.9908029437065125,0.412680447101593,0.7297060489654541,0.5760623216629028,0.2702939808368683,0.9603115320205688,0.3314763307571411
33,0.8424345254898071,0.7280904054641724,0.1575651466846466,1e-05,0.9914684891700745,0.4126260578632355,0.7293999195098877,0.5756880044937134,0.27060016989707947,0.960415780544281,0.33100149035453796
34,0.8433959484100342,0.7295247912406921,0.1566041111946106,1e-06,0.9920064806938171,0.4109107553958893,0.733493447303772,0.5806424021720886,0.26650646328926086,0.9574993848800659,0.34010228514671326
35,0.8438701033592224,0.7302342057228088,0.15612997114658356,1e-06,0.9919630289077759,0.41251036524772644,0.7338973879814148,0.5811334252357483,0.2661026120185852,0.9570600390434265,0.34122738242149353
36,0.8440591096878052,0.730516791343689,0.15594084560871124,1e-06,0.9920159578323364,0.41264671087265015,0.7338338494300842,0.5810569524765015,0.26616615056991577,0.9570526480674744,0.3410886228084564
37,0.8442376255989075,0.7307838797569275,0.15576238930225372,1e-06,0.9920879602432251,0.412644624710083,0.7337566018104553,0.5809634923934937,0.2662433385848999,0.9570576548576355,0.340921014547348
38,0.8444114327430725,0.7310439348220825,0.15558841824531555,1e-06,0.99216628074646,0.4126381576061249,0.7336898446083069,0.5808819532394409,0.26631027460098267,0.957079291343689,0.3407948315143585
